content,offset,samples,alpha,beta,gamma,delta,theta
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,42000,20,0.487188872,0.406181051,0.951318538,0.408635949,0.423889027
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,43000,24,0.612486985,0.471518234,0.582180318,-0.048993929,0.355049695
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,44000,20,0.292756928,0.684523405,0.649627407,0.11866198,0.172518198
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,45000,24,0.875536638,0.654559838,0.616135643,0.71520493,0.507623508
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,46000,18,0.978180345,1.126719868,0.71194764,0.504168747,0.977821834
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,47000,23,1.132620586,0.932947953,1.125669173,0.600496895,1.28997125
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,48000,22,0.443856651,0.540920565,0.475064701,0.752908025,0.642688228
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,49000,22,0.539602561,0.442246169,0.731620778,0.277629517,0.879892926
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,50000,19,0.561530995,0.595142866,0.523114879,0.435536361,0.614044729
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,51000,23,0.298258473,0.473114159,0.407808317,0.532304549,0.349284936
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,52000,24,0.654241841,0.401253375,0.476909154,0.192321264,0.512406023
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,53000,24,0.590755319,0.893551147,0.716193588,0.804004125,0.590718331
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,54000,21,0.474406148,0.777146539,0.808545644,0.536672779,0.459789052
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,55000,24,0.669479586,0.711599017,0.729561564,0.170187949,0.38108627
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,56000,20,0.196189733,0.469898185,0.26730008,0.164981271,0.168920765
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,57000,21,0.49727304,0.459020744,0.023261107,0.114470322,0.196363362
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,58000,25,0.436520357,0.370525312,0.629484775,0.404112818,0.422431341
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,59000,19,0.253316967,0.249584212,0.379777898,0.330964048,0.061919771
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,60000,19,0.914753742,0.77393823,0.477978419,0.558330504,0.398078886
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,61000,23,0.599202104,0.454340838,0.61919703,0.55395718,0.180191888
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,62000,25,0.640024379,0.57955157,0.414120351,1.612901538,0.68869094
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,63000,24,0.543618024,0.370579104,0.399826042,0.158604976,0.224960144
55015f71de1dda599034c42ce7d545ee10bb3eea.webm,64000,4,0.854911041,0.614671489,0.923731687,0.899594563,1.041505044
60854e63d60e2d4323cae10d7264b95c4de16899.webm,0,27,0.46793083,0.565980253,0.427432919,0.974713493,0.540061975
60854e63d60e2d4323cae10d7264b95c4de16899.webm,1000,21,0.782332935,0.983625244,0.576628244,0.860571906,1.015278662
60854e63d60e2d4323cae10d7264b95c4de16899.webm,2000,22,1.017162215,0.918635228,0.884886614,0.873272795,0.834057685
60854e63d60e2d4323cae10d7264b95c4de16899.webm,3000,21,0.529801629,0.627413067,0.477227541,0.240813521,0.382168872
60854e63d60e2d4323cae10d7264b95c4de16899.webm,4000,23,0.548635913,0.500153648,0.402502425,0.378261041,0.281320828
60854e63d60e2d4323cae10d7264b95c4de16899.webm,5000,22,0.433365918,0.210947247,0.26889847,0.523807935,0.832544307
60854e63d60e2d4323cae10d7264b95c4de16899.webm,6000,25,0.832061705,0.625739786,0.5615811,0.487871591,0.535632339
60854e63d60e2d4323cae10d7264b95c4de16899.webm,7000,19,0.316438183,0.327966508,0.634975962,0.377400909,0.38577053
60854e63d60e2d4323cae10d7264b95c4de16899.webm,8000,23,0.600988046,0.478409492,0.48292564,0.004737049,0.245320112
60854e63d60e2d4323cae10d7264b95c4de16899.webm,9000,22,0.290724953,0.32209579,0.193105464,0.352823607,0.181519743
60854e63d60e2d4323cae10d7264b95c4de16899.webm,10000,24,0.688975161,0.755588967,0.38073311,0.01025666,0.328454722
60854e63d60e2d4323cae10d7264b95c4de16899.webm,11000,23,0.752074491,0.880569573,0.789514063,0.107057421,0.490330339
60854e63d60e2d4323cae10d7264b95c4de16899.webm,12000,21,0.26524804,0.275680894,0.2725169,0.209669161,0.520960669
60854e63d60e2d4323cae10d7264b95c4de16899.webm,13000,17,0.285722408,0.760619697,0.272210686,0.105990463,0.123348688
60854e63d60e2d4323cae10d7264b95c4de16899.webm,14000,22,1.025480661,1.020923729,1.23568332,0.546530351,0.781732653
60854e63d60e2d4323cae10d7264b95c4de16899.webm,15000,3,0.208648074,0.175593633,-0.059689549,0.159731438,0.317264363
2d6824c5156e235493eee53b10d7e31efdd84898.webm,0,21,0.60393104,0.294316399,0.559286328,0.71655185,0.723432132
2d6824c5156e235493eee53b10d7e31efdd84898.webm,1000,24,0.581688236,0.844375138,1.104110694,1.399684159,1.545437626
2d6824c5156e235493eee53b10d7e31efdd84898.webm,2000,20,0.434407998,0.436305917,0.581877497,0.574934424,0.386260072
2d6824c5156e235493eee53b10d7e31efdd84898.webm,3000,23,0.277637191,0.22088462,0.237004846,0.323341935,0.516795864
2d6824c5156e235493eee53b10d7e31efdd84898.webm,4000,18,1.105125134,0.830085402,0.780692744,0.75335842,0.997183095
2d6824c5156e235493eee53b10d7e31efdd84898.webm,5000,23,0.539508629,0.509030627,0.741378699,0.206068664,0.535122273
2d6824c5156e235493eee53b10d7e31efdd84898.webm,6000,22,0.867041506,0.623120986,0.170214798,0.380791157,0.620492144
2d6824c5156e235493eee53b10d7e31efdd84898.webm,7000,18,1.393441786,1.020599236,1.057353275,0.457683266,1.179584067
