content,offset,samples,alpha,beta,gamma,delta,theta
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,51000,15,0.315413364,0.391672894,0.26739131,0.347008608,0.502310597
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,52000,14,0.779669895,0.905184402,0.732837951,0.104848659,0.406583268
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,53000,15,0.634169011,1.344562339,1.336669767,0.503358908,0.165908328
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,54000,12,0.563744938,0.737374305,0.51927063,0.433133334,0.817770774
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,55000,16,0.778343527,0.537451289,0.723002493,0.588113201,0.601944427
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,56000,13,0.15141454,-0.011204749,0.106393578,0.15806616,0.446346535
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,57000,16,0.613751855,0.661732056,0.562338887,0.469702207,1.460225914
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,58000,13,0.549849412,0.72750839,1.034394892,0.23663252,0.898584045
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,59000,15,0.854905954,1.009944555,0.899505798,0.604451541,0.433038115
ffcd8c3d21d087676523e9a1c03135a5e30e4158.webm,60000,2,0.576687366,0.685437187,0.16155352,1.54603397,0.438974572
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,0,13,1.85967191,1.269728275,1.511973511,1.483307099,1.050733442
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,1000,12,1.14472647,0.433250667,0.591766124,0.546404246,0.685223261
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,2000,13,1.017856351,0.846334493,1.502226231,1.002456277,1.408949959
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,3000,18,0.712863653,0.702061749,0.986435467,0.374469004,0.726576807
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,4000,13,0.789774555,0.64891801,1.205331993,0.641108835,0.740066506
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,5000,13,0.654285347,0.648680174,0.65939906,0.518312744,0.915975689
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,6000,17,1.645877698,1.644704264,1.108692334,1.443949165,1.033558174
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,7000,11,0.771491238,1.403258579,1.351341663,0.023514431,0.675022438
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,8000,10,0.994848475,0.918320937,1.235270031,0.335066958,0.482696256
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,9000,15,0.569908139,0.347502127,0.432877637,0.345613219,0.131039397
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,10000,14,0.693853936,0.880214592,1.209972536,0.595666372,0.59319284
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,11000,14,0.519548848,0.895014852,0.98860619,0.249454757,0.101313876
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,12000,14,0.724625375,0.914764919,0.986849912,0.608247683,0.621312095
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,13000,13,1.067245059,1.551760461,1.155912478,1.394250412,0.45253048
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,14000,15,0.474935594,0.915814898,1.155035761,0.332818043,0.867643601
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,15000,16,0.533225501,0.516264268,0.336441805,0.526211202,0.118002399
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,16000,18,0.892355635,1.105143872,1.076242115,1.265070352,0.876018583
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,17000,13,0.54732396,1.236799712,0.829258505,0.789576343,0.414904465
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,18000,14,0.481621712,0.701236413,0.780018648,0.63614365,0.603933443
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,19000,12,0.550555909,0.989423035,0.943454135,1.674630166,1.003549042
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,20000,12,0.66331005,0.919857651,0.712420094,0.058530226,0.319319535
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,21000,15,0.620939176,0.932112039,0.926463932,0.249570283,0.138699435
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,22000,13,0.786115986,0.64084142,0.594398923,0.312201754,0.029594208
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,23000,14,0.047979717,0.376656852,0.148439914,0.573579012,-0.031402676
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,24000,14,0.3366831,0.441637846,0.432791344,0.416591353,0.619627436
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,25000,13,0.33680884,0.69666997,0.531439648,0.470223248,0.566961064
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,26000,16,1.141329557,0.979241511,0.821521118,0.640997727,0.981339313
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,27000,14,0.485657588,0.496599736,0.731934445,0.659539327,0.269920735
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,28000,14,1.013442104,1.039571006,0.668206854,1.280497914,1.184858649
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,29000,13,0.694280831,0.733454739,0.871214742,0.174442128,0.131725587
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,30000,15,0.11516452,0.233700242,0.280845885,0.608514636,0.124450064
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,31000,11,1.608503998,0.727464604,1.269601611,0.786410764,1.781388561
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,32000,16,0.784335714,0.443121939,0.44559095,0.562288108,0.164960638
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,33000,15,0.433932562,1.057931538,0.842129515,0.576891032,0.418113021
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,34000,14,0.470886031,0.647188344,0.45581859,0.484537425,0.417820871
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,35000,14,0.687057002,0.557264555,0.515980564,0.374384914,0.099056173
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,36000,15,0.743925014,1.180016774,1.107908557,0.436611423,0.858608864
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,37000,15,0.725043394,0.931103955,1.229162153,0.341491291,0.720236208
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,38000,13,0.968180205,0.633847619,0.520189016,0.169869101,0.083664313
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,39000,15,0.150186162,0.501424334,0.143227586,0.326729387,0.133975153
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,40000,14,0.265568606,0.532073992,0.509467322,0.269119558,0.210486767
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,41000,15,0.768496636,0.968992083,0.696506865,0.317566017,0.311617923
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,42000,13,0.354263831,0.503500503,0.521272454,-0.093791312,0.212619457
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,43000,14,0.979400989,0.570914419,0.678119004,0.556531346,0.654177757
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,44000,17,0.672311823,0.848449693,0.718503346,0.354396875,0.448187915
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,45000,14,0.139753582,0.19853722,0.239681702,0.112523962,0.215560016
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,46000,14,0.307962108,0.516184314,0.768262668,0.03877733,0.257346051
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,47000,14,0.591517126,0.903545593,1.060534662,0.82729401,0.72723904
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,48000,14,0.593380066,0.702066216,0.647683775,0.241187827,0.139302968
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,49000,14,0.898239201,0.723474492,0.69878319,0.355098003,0.268082831
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,50000,12,1.186421899,0.55480124,0.617012456,0.236219269,0.716073951
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,51000,15,0.634590935,0.752798391,0.755265,-0.041993828,0.27118683
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,52000,13,1.15931643,1.505185827,0.888384831,1.147166622,1.220242467
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,53000,13,0.841599739,0.688336989,0.419040716,0.699212371,0.777437934
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,54000,16,0.895629259,0.876935776,0.714663981,0.729764602,0.620160597
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,55000,15,0.725749724,0.878089186,1.078878329,0.31017744,0.568655733
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,56000,15,0.456806479,0.784141859,0.396087899,0.509899993,0.12593562
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,57000,14,-0.055072719,0.344267093,0.096925846,0.093060733,0.209244368
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,58000,12,0.659010247,0.651720187,0.470885527,-0.044374172,0.040667598
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,59000,16,0.506441871,0.575096091,0.721612664,0.13520311,0.224833371
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,60000,15,0.205476269,0.358827852,0.451993933,0.088073731,0.271570487
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,61000,13,0.329566212,0.805896221,0.640186588,0.24325983,0.343044444
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,62000,14,0.937926027,0.874989966,1.07545585,0.409050744,0.423928762
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,63000,13,1.014786256,0.62792085,0.420618904,0.92337509,0.599639384
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,64000,16,0.830818566,0.824600819,0.747818841,0.585848543,0.503051041
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,65000,14,0.632661927,0.485472875,0.321972384,0.052899343,0.251133004
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,66000,12,0.126960715,0.239287269,0.051003605,0.094572539,0.082255364
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,67000,15,0.771138723,1.02523551,0.912607082,0.207751337,0.782203854
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,68000,12,0.501253307,0.421561158,0.639105436,0.653214908,0.731660436
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,69000,14,0.449344581,0.434887181,0.144011009,0.006563664,0.393253323
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,70000,14,0.416051934,0.088013566,0.223221874,0.565054798,0.375336613
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,71000,11,0.122000668,0.544125619,0.406583072,0.753226137,0.143202023
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,72000,14,0.379233771,0.47738278,0.709327766,0.504096582,0.846597761
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,73000,15,0.64277258,0.457286836,0.427806188,0.387017929,0.386827452
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,74000,14,1.251790854,0.84557174,1.192771878,0.474636704,0.472863524
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,75000,15,0.75353617,0.898497539,1.182929975,1.77552994,0.814963315
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,76000,12,0.514294142,0.39615225,0.587210114,0.944335944,0.451809982
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,77000,17,0.496220973,0.712679389,0.654252,0.35633512,0.381751403
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,78000,13,0.378456782,1.109701171,0.464647093,0.110466769,0.290221971
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,79000,14,0.235896277,0.212867201,0.359082222,-0.090989922,0.243473445
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,80000,14,0.599963557,0.837055808,0.606154293,0.237446394,0.660287069
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,81000,12,0.407531957,0.771799915,0.687854921,0.059974341,0.348601114
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,82000,14,-0.022776436,0.580699611,0.526497168,0.198439729,0.046632695
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,83000,15,0.446470148,0.577030951,0.40359856,-0.143008806,0.125484472
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,84000,12,0.319070758,0.490811434,0.340261964,0.030676453,0.028468132
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,85000,13,0.609613426,0.88433253,0.778420281,0.473035577,0.44109658
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,86000,14,0.584045709,0.923469454,0.638712599,0.213997988,0.161083302
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,87000,15,0.514437301,0.925513016,0.954194998,0.439429627,0.385801132
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,88000,15,1.263250927,0.622535569,0.751707791,1.208991803,0.712656473
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,89000,13,0.459024699,0.505399891,0.685064594,-0.163711084,0.339511363
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,90000,13,1.15264858,0.806713857,0.910428886,0.688816676,1.544049635
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,91000,14,0.298289379,0.777206878,0.739097676,0.310981405,0.242297151
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,92000,12,0.506413183,0.551252875,0.399698043,0.323504972,0.646950608
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,93000,13,0.468324394,0.33250443,0.454085946,0.629545391,0.432872419
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,94000,11,0.291658264,0.308785224,0.238873083,0.738652321,0.189876253
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,95000,13,0.976540491,0.940349863,0.638390323,0.469270367,0.614129457
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,96000,15,1.086046782,0.879374517,0.980520325,0.946524241,1.261433048
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,97000,13,1.13825984,1.118840558,0.826944986,1.170229536,0.916430939
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,98000,11,0.974541428,0.837773899,0.584581029,1.048206449,1.187378663
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,99000,13,0.897695937,0.5086059,0.520273059,0.614476451,0.537100598
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,100000,14,0.421698481,0.431018129,0.557859546,0.177930027,0.52492189
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,101000,13,0.93305787,1.088946958,0.554977964,0.956836244,0.613874317
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,102000,15,0.689351928,0.485833668,0.413386107,0.322324549,0.722853891
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,103000,13,0.347122001,0.38923861,0.57936842,0.406178737,0.274261702
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,104000,11,0.427049562,0.670436934,0.787867161,0.670436577,0.053714702
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,105000,15,0.197524356,0.251726186,0.406501123,0.044155056,0.410926841
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,106000,12,0.305221006,0.433760779,0.254773574,-0.04471938,0.221079046
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,107000,14,0.293238681,0.422241104,0.480177127,0.526878509,0.411815481
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,108000,13,0.42653318,0.28682615,0.380470173,0.038807421,0.297260962
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,109000,13,0.277416719,0.206725863,0.33239965,0.12644118,0.140067924
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,110000,13,0.450875158,0.40230851,0.294880103,0.65283976,0.718550288
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,111000,12,0.789107041,0.442323991,0.44214881,0.383044466,1.054327878
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,112000,14,0.210471255,0.238315311,0.489856711,0.08954079,0.353865358
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,113000,11,0.234473066,0.110099143,0.101373041,0.134171205,0.143034649
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,114000,12,0.409327107,0.237825277,0.135895066,0.350895427,0.617591745
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,115000,13,0.942152553,0.864503115,0.4518732,0.607714316,1.096905424
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,116000,14,0.781937222,0.656845584,0.422212538,0.747466371,1.024435278
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,117000,14,0.263121412,0.378826994,0.052510377,0.054360269,0.206399192
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,118000,14,0.598872221,0.770687421,0.714239334,0.191288026,0.784901966
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,119000,13,0.570346799,0.897694482,0.655402747,0.163969363,0.598749943
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,120000,14,0.635534495,0.681226514,0.942361129,-0.112764315,0.826007936
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,121000,14,0.723504722,0.798559309,0.475121034,0.677096908,0.627170844
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,122000,13,1.258870153,0.639602059,0.635601376,0.341774368,0.537856318
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,123000,14,0.240495516,0.199475981,0.164441733,0.123909297,0.334017831
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,124000,13,0.312893044,1.034108297,0.664482689,0.86912668,0.736673585
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,125000,13,0.304876611,0.456719314,0.307492619,0.127816648,0.030881465
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,126000,12,0.520845332,0.437111736,0.43104234,0.218751878,0.16942744
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,127000,14,0.024795942,0.20974418,0.16299807,-0.077339184,0.410259775
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,128000,14,0.415995219,0.669941315,0.250631832,0.083179671,0.326255754
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,129000,14,0.353432624,0.392049636,0.382744396,0.348863257,0.458065615
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,130000,13,0.589112749,0.564733331,0.381700094,0.308416364,0.750143533
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,131000,14,0.479440845,0.8308115,0.879112979,1.003126441,1.13673687
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,132000,13,0.467173092,0.537292958,0.667326173,0.715757385,0.574893582
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,133000,12,0.604796715,0.669712111,0.561256038,0.355166905,0.525963394
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,134000,13,0.366090965,0.407543208,0.129807592,0.798405818,0.697306456
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,135000,13,0.701153171,0.889685877,0.952056782,0.18182498,0.399664984
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,136000,14,0.133983676,0.449741683,0.830275213,0.921500071,0.46889613
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,137000,14,0.843821427,0.968140512,0.645347794,0.139395319,0.177901048
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,138000,13,1.266764876,0.84644002,0.776943251,0.50878383,0.742182082
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,139000,13,0.547233892,0.664792355,0.659729793,0.688777894,0.451310471
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,140000,14,0.25189161,0.625843679,0.507449448,0.256323282,0.388777356
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,141000,13,0.919218303,0.471642274,0.384360542,0.453700329,0.358469497
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,142000,13,0.701066755,0.469759012,0.798213196,0.31419194,0.27904173
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,143000,15,0.36680766,0.660896895,0.530608461,0.45556686,0.967299396
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,144000,12,0.261685901,0.457985034,0.264244523,-0.114881098,0.16244204
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,145000,13,0.959544512,0.346422045,0.269955927,0.390960133,0.183937278
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,146000,13,0.354423028,0.669403842,0.401379521,-0.023294872,0.177592831
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,147000,15,0.602858008,0.510364887,0.455917281,0.317176208,0.450231828
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,148000,13,0.596061848,0.492022217,0.420667622,-0.006161036,0.360487705
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,149000,14,0.465430325,0.802191698,0.566704978,-0.069932263,0.372572354
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,150000,15,0.582713126,0.627454793,0.901132856,0.383983071,0.072524262
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,151000,16,0.217521461,0.371746408,0.247773529,0.235256194,-0.056799169
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,152000,14,0.732802786,0.626682236,0.419899127,0.311513903,0.494456258
34aa48c1a72261a26dc71fcb955f8f30bec8b878.webm,153000,11,0.241509442,0.92639857,0.631174439,0.465823634,0.815729417
1658f809831d793f70fba8536fe28d3c2844560d.webm,0,10,1.230274765,0.88348244,1.248439068,2.099089899,1.52263759
1658f809831d793f70fba8536fe28d3c2844560d.webm,1000,16,0.528957075,0.327565056,0.293306289,1.617450537,0.461090664
1658f809831d793f70fba8536fe28d3c2844560d.webm,2000,14,0.300720213,0.703454012,0.616361099,0.405514287,0.373034261
1658f809831d793f70fba8536fe28d3c2844560d.webm,3000,13,0.348042621,0.383157859,0.312258279,0.468225178,0.257213517
1658f809831d793f70fba8536fe28d3c2844560d.webm,4000,15,0.444993077,0.695156505,0.575693027,0.354565082,0.309996253
1658f809831d793f70fba8536fe28d3c2844560d.webm,5000,13,0.330062358,0.173907421,0.195326885,0.314931658,0.158473347
1658f809831d793f70fba8536fe28d3c2844560d.webm,6000,11,0.098809819,-0.010621154,0.032503922,-0.140136816,0.203715114
1658f809831d793f70fba8536fe28d3c2844560d.webm,7000,15,0.860725758,0.762489836,0.89814979,1.113729913,0.347790573
1658f809831d793f70fba8536fe28d3c2844560d.webm,8000,13,0.645983076,0.682887037,0.930146657,0.238172564,0.33294295
1658f809831d793f70fba8536fe28d3c2844560d.webm,9000,15,0.472475408,0.46061123,0.580085796,0.399511029,0.386809727
1658f809831d793f70fba8536fe28d3c2844560d.webm,10000,14,0.562618378,0.463248731,0.600962342,0.082440537,-0.101382432
1658f809831d793f70fba8536fe28d3c2844560d.webm,11000,15,0.335743693,0.830597111,0.466232202,0.324846849,0.160399214
1658f809831d793f70fba8536fe28d3c2844560d.webm,12000,14,0.230032936,0.340090976,0.284635433,0.433710119,-0.024745382
1658f809831d793f70fba8536fe28d3c2844560d.webm,13000,14,0.323084422,0.447612049,0.152816002,0.156871557,0.138937188
1658f809831d793f70fba8536fe28d3c2844560d.webm,14000,15,0.414274734,0.787273447,0.206756682,0.150313862,-0.043755572
1658f809831d793f70fba8536fe28d3c2844560d.webm,15000,15,0.994664162,1.594998957,1.341321781,0.196491585,1.162333519
1658f809831d793f70fba8536fe28d3c2844560d.webm,16000,14,0.396378719,0.65936156,0.635622209,0.174390326,0.175728964
1658f809831d793f70fba8536fe28d3c2844560d.webm,17000,12,0.423219226,0.78928826,0.628394996,-0.11117425,-0.058888734
1658f809831d793f70fba8536fe28d3c2844560d.webm,18000,14,0.111531955,0.393249195,0.521015119,-0.134942204,0.09060612
1658f809831d793f70fba8536fe28d3c2844560d.webm,19000,17,0.532859898,1.03124514,1.224724123,0.044233189,-0.007700378
1658f809831d793f70fba8536fe28d3c2844560d.webm,20000,13,0.271487385,0.54832818,0.663253967,-0.145087517,-0.058784647
1658f809831d793f70fba8536fe28d3c2844560d.webm,21000,16,0.087005872,0.152622078,0.281834531,-0.25413064,-0.07528631
1658f809831d793f70fba8536fe28d3c2844560d.webm,22000,13,0.096025083,0.564995157,0.724216654,0.072566265,0.223032856
1658f809831d793f70fba8536fe28d3c2844560d.webm,23000,15,0.862689783,0.68979853,0.594370375,0.451720688,0.802363099
1658f809831d793f70fba8536fe28d3c2844560d.webm,24000,14,0.342139048,0.468052143,0.412709889,0.165322536,0.502798911
1658f809831d793f70fba8536fe28d3c2844560d.webm,25000,15,0.408803909,0.423620299,0.582457656,-0.041517132,-0.141484612
1658f809831d793f70fba8536fe28d3c2844560d.webm,26000,13,0.22521604,0.48666418,0.55788489,0.264609433,0.476471034
1658f809831d793f70fba8536fe28d3c2844560d.webm,27000,13,0.732107559,0.699998633,0.692114271,0.229331456,0.92449908
1658f809831d793f70fba8536fe28d3c2844560d.webm,28000,13,0.605419739,0.528088349,0.663015637,0.538521902,0.4646634
1658f809831d793f70fba8536fe28d3c2844560d.webm,29000,16,0.442719632,0.418488199,0.347270937,0.663571555,0.570986506
1658f809831d793f70fba8536fe28d3c2844560d.webm,30000,1,0.121965485,-0.27658032,0.21828635,-0.529483214,-0.187059614
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,0,14,0.698844081,0.542681935,0.631698821,1.19467772,0.464551399
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,1000,13,0.665885348,0.936273931,0.802699273,0.521709343,0.924346451
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,2000,14,0.603806978,0.88249298,1.556107677,0.702476343,1.18650083
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,3000,16,0.874607829,1.43860857,0.907588736,0.997494102,1.471726082
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,4000,14,1.099560368,1.383778491,1.195071131,1.244474233,1.25647851
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,5000,14,0.502239287,0.47144002,0.573960042,0.384101442,0.643679719
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,6000,14,1.220951143,1.15548528,1.213834498,0.411541156,1.001333701
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,7000,14,1.401334269,1.283528518,1.273218916,0.124414645,0.498580688
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,8000,14,0.382764671,0.29395956,0.534593718,0.422075718,0.399134689
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,9000,15,0.875473163,0.810973423,1.005287284,0.913037509,0.463124007
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,10000,14,1.271168622,1.301420646,1.247330146,0.867029508,0.779639215
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,11000,15,0.584037324,0.409495317,0.273082602,0.26302472,0.663196389
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,12000,12,1.034694152,0.972193524,0.613098033,0.877441475,0.531489154
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,13000,16,0.692201668,0.642243561,0.854590159,0.398922816,0.364828826
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,14000,10,1.202315698,1.048798664,1.249555284,0.100895502,0.6061939
b8319fec191de5c82bc5c462716e0e136ec07f27.webm,15000,5,1.351619727,0.871939811,0.666526369,-0.162722197,0.535393558
cff707ce10a4d6ecddca0cab5f7cb4ce2a0126e4.webm,0,16,0.976086159,1.165135274,1.30979281,1.860654307,0.623088178
cff707ce10a4d6ecddca0cab5f7cb4ce2a0126e4.webm,1000,14,0.919603605,0.46092048,1.270501435,0.942243761,0.658520531
